song,count,after_song
"(Baby) Hully Gully",1,"The Wheel"
"(I Can't Get No) Satisfaction",6,"Brokedown Palace"
"(I Can't Get No) Satisfaction",3,"It's All Over Now, Baby Blue"
"(I Can't Get No) Satisfaction",0,""
"(I'm A) Road Runner",1,"West L.A. Fadeaway"
"(I'm A) Road Runner",1,"Dupree's Diamond Blues"
"26 Miles Tuning",1,"Johnny B. Goode"
"A Voice From On High",2,"Cold Jordan"
"A Voice From On High",1,"Swing Low, Sweet Chariot"
"Addams Family Tuning",1,"Cassidy"
"Addams Family Tuning",1,"When I Paint My Masterpiece"
"Alabama Getaway",59,"Greatest Story Ever Told"
"Alabama Getaway",57,"The Promised Land"
"Alabama Getaway",3,"Johnny B. Goode"
"Alabama Getaway",2,"Feel Like A Stranger"
"Alabama Getaway",2,"One More Saturday Night"
"Alabama Getaway",1,"Dire Wolf"
"Alabama Getaway",1,"Walkin' Blues"
"Alabama Getaway",1,"El Paso"
"Alabama Getaway",1,"Jack Straw"
"Alabama Getaway",1,"Me And My Uncle"
"Alabama Getaway",1,"Queen Jane Approximately"
"Alabama Getaway",1,"Brokedown Palace"
"Alabama Getaway",0,""
"Alice D. Millionaire",1,"Me And My Uncle"
"All Along The Watchtower",28,"Stella Blue"
"All Along The Watchtower",23,"Black Peter"
"All Along The Watchtower",21,"Morning Dew"
"All Along The Watchtower",11,"Standing On The Moon"
"All Along The Watchtower",6,"Days Between"
"All Along The Watchtower",4,"China Doll"
"All Along The Watchtower",3,"Attics Of My Life"
"All Along The Watchtower",3,"Wharf Rat"
"All Along The Watchtower",2,"Dear Mr. Fantasy"
"All Along The Watchtower",2,"Goin' Down The Road Feeling Bad"
"All Along The Watchtower",2,"Believe It Or Not"
"All Along The Watchtower",1,"Touch Of Grey"
"All Along The Watchtower",1,"So Many Roads"
"All Along The Watchtower",1,"Don't Ease Me In"
"All Along The Watchtower",1,"The Times They Are A Changin'"
"All Along The Watchtower",1,"Sugar Magnolia"
"All Along The Watchtower",1,"The Wheel"
"All Along The Watchtower",1,"Turn On Your Lovelight"
"All Along The Watchtower",0,""
"All I Have To Do Is Dream",1,"Wabash Cannonball"
"Alligator",40,"Drums"
"Alligator",15,"Caution (Do Not Stop On Tracks)"
"Alligator",4,"Feedback"
"Alligator",2,"Jam"
"Alligator",1,"In The Midnight Hour"
"Alligator",1,"He Was A Friend Of Mine"
"Alligator",1,"The Other One"
"Alligator",0,""
"Althea",27,"Lost Sailor"
"Althea",23,"Let It Grow"
"Althea",23,"Little Red Rooster"
"Althea",20,"Looks Like Rain"
"Althea",16,"When I Paint My Masterpiece"
"Althea",16,"Cassidy"
"Althea",15,"Me And My Uncle"
"Althea",10,"C.C. Rider"
"Althea",10,"The Music Never Stopped"
"Althea",9,"Easy To Love You"
"Althea",7,"Passenger"
"Althea",7,"My Brother Esau"
"Althea",6,"Mama Tried"
"Althea",6,"Queen Jane Approximately"
"Althea",5,"Lazy Lightnin'"
"Althea",5,"Beat It On Down The Line"
"Althea",4,"Hell In A Bucket"
"Althea",4,"Jack Straw"
"Althea",4,"The Promised Land"
"Althea",4,"El Paso"
"Althea",4,"It's All Over Now"
"Althea",3,"Victim Or The Crime"
"Althea",3,"New Minglewood Blues"
"Althea",3,"Feel Like A Stranger"
"Althea",3,"Black Throated Wind"
"Althea",3,"Walkin' Blues"
"Althea",3,"Eternity"
"Althea",2,"Desolation Row"
"Althea",2,"The Same Thing"
"Althea",2,"Stuck Inside A Mobile With The Memphis Blues Again"
"Althea",2,"Man Smart (Woman Smarter)"
"Althea",2,"Just Like Tom Thumb's Blues"
"Althea",2,"Box Of Rain"
"Althea",2,"Wang Dang Doodle"
"Althea",2,"It's All Over Now, Baby Blue"
"Althea",2,"Estimated Prophet"
"Althea",1,"Willie & The Hand Jive"
"Althea",1,"Playing In The Band"
"Althea",1,"Never Trust A Woman"
"Althea",1,"Far From Me"
"Althea",1,"Tons Of Steel"
"Althea",1,"Greatest Story Ever Told"
"Althea",1,"Blow Away"
"Althea",1,"We Can Run"
"Althea",1,"Stander On The Mountain"
"Althea",0,""
"And We Bid You Good Night",0,""
"And We Bid You Good Night Jam",3,"Jam"
"And We Bid You Good Night Jam",1,"Uncle John's Band Jam"
"And We Bid You Good Night Jam",1,"Alligator"
"And We Bid You Good Night Jam",1,"Caution (Do Not Stop On Tracks)"
"And We Bid You Good Night Jam",0,""
"Are You Lonely For Me Baby?",1,"Next Time You See Me"
"Around And Around",72,"Good Lovin'"
"Around And Around",47,"Johnny B. Goode"
"Around And Around",23,"One More Saturday Night"
"Around And Around",13,"Sugar Magnolia"
"Around And Around",9,"Goin' Down The Road Feeling Bad"
"Around And Around",8,"Turn On Your Lovelight"
"Around And Around",7,"Sunshine Daydream"
"Around And Around",6,"Not Fade Away"
"Around And Around",6,"Casey Jones"
"Around And Around",3,"Playing In The Band (reprise)"
"Around And Around",3,"Mississippi Half Step Uptown Toodeloo"
"Around And Around",2,"Tennessee Jed"
"Around And Around",2,"Help On The Way"
"Around And Around",2,"Morning Dew"
"Around And Around",2,"Dark Star"
"Around And Around",2,"Brown Eyed Women"
"Around And Around",2,"Sugaree"
"Around And Around",2,"Loose Lucy"
"Around And Around",2,"Eyes Of The World"
"Around And Around",1,"Ramble On Rose"
"Around And Around",1,"China Cat Sunflower"
"Around And Around",1,"Peggy O"
"Around And Around",1,"The Weight"
"Around And Around",1,"Jam"
"Around And Around",1,"Playing In The Band"
"Around And Around",1,"They Love Each Other"
"Around And Around",1,"It's All Over Now, Baby Blue"
"Around And Around",1,"Wharf Rat"
"Around And Around",1,"All Along The Watchtower"
"Around And Around",1,"Ode For Billie Dean"
"Around And Around",1,"Deal"
"Around And Around",1,"High Time"
"Around And Around",1,"Cumberland Blues"
"Around And Around",1,"The Promised Land"
"Around And Around",1,"It's All Over Now"
"Around And Around",1,"Dire Wolf"
"Around And Around",1,"Drums"
"Around And Around",1,"Big Railroad Blues"
"Around And Around",1,"Ship Of Fools"
"Around And Around",1,"Liberty"
"Around And Around",1,"New Orleans"
"Around And Around",1,"Friend Of The Devil"
"Around And Around",1,"It Must Have Been The Roses"
"Around And Around",1,"Saint Stephen"
"Around And Around",1,"Alabama Getaway"
"Around And Around",0,""
"Attics Of My Life",6,"Sugar Magnolia"
"Attics Of My Life",6,"Good Lovin'"
"Attics Of My Life",4,"Throwing Stones"
"Attics Of My Life",3,"Turn On Your Lovelight"
"Attics Of My Life",2,"Around And Around"
"Attics Of My Life",2,"Not Fade Away"
"Attics Of My Life",2,"Friend Of The Devil"
"Attics Of My Life",2,"Mama Tried"
"Attics Of My Life",2,"It's A Man's World"
"Attics Of My Life",2,"Johnny B. Goode"
"Attics Of My Life",1,"China Cat Sunflower"
"Attics Of My Life",1,"Drums"
"Attics Of My Life",1,"Spoonful"
"Attics Of My Life",1,"Dire Wolf"
"Attics Of My Life",1,"The Other One"
"Attics Of My Life",1,"The Promised Land"
"Attics Of My Life",1,"Saint Stephen"
"Attics Of My Life",1,"Hard To Handle"
"Attics Of My Life",1,"Me And Bobby Mcgee"
"Attics Of My Life",1,"Cumberland Blues"
"Attics Of My Life",1,"Playing In The Band (reprise)"
"Attics Of My Life",1,"Dark Star"
"Attics Of My Life",0,""
"Baba O'riley",12,"Tomorrow Never Knows"
"Baby What You Want Me To Do",1,"Hard To Handle"
"Baby What You Want Me To Do",1,"Jack Straw"
"Baby What You Want Me To Do",1,"Wipe Out"
"Baby What You Want Me To Do",1,"Drums"
"Baby What You Want Me To Do",1,"Sugar Magnolia"
"Bad Moon Rising",1,"Proud Mary"
"Ballad Of A Thin Man",2,"Stuck Inside A Mobile With The Memphis Blues Again"
"Ballad Of A Thin Man",1,"Cumberland Blues"
"Ballad Of A Thin Man",1,"The Wicked Messenger"
"Ballad Of A Thin Man",1,"Rainy Day Women #12 & #35"
"Ballad Of A Thin Man",1,"Shelter From The Storm"
"Ballad Of A Thin Man",1,"When Push Comes To Shove"
"Ballad Of A Thin Man",1,"Highway 61 Revisited"
"Banana Boat Song (Day O)",1,"Knockin' On Heaven's Door"
"Banana Boat Song (Day O)",1,"Man Smart (Woman Smarter)"
"Banks Of The Ohio",0,""
"Barbara Allen",1,"You Won't Find Me"
"Barbara Allen",0,""
"Beat It On Down The Line",22,"Brown Eyed Women"
"Beat It On Down The Line",19,"Loser"
"Beat It On Down The Line",16,"Tennessee Jed"
"Beat It On Down The Line",15,"China Cat Sunflower"
"Beat It On Down The Line",12,"Sugaree"
"Beat It On Down The Line",12,"Deal"
"Beat It On Down The Line",11,"Bird Song"
"Beat It On Down The Line",10,"Peggy O"
"Beat It On Down The Line",10,"Row Jimmy"
"Beat It On Down The Line",9,"Candyman"
"Beat It On Down The Line",8,"Dire Wolf"
"Beat It On Down The Line",7,"It Must Have Been The Roses"
"Beat It On Down The Line",7,"Stagger Lee"
"Beat It On Down The Line",7,"Ramble On Rose"
"Beat It On Down The Line",6,"It Hurts Me Too"
"Beat It On Down The Line",6,"Greatest Story Ever Told"
"Beat It On Down The Line",5,"West L.A. Fadeaway"
"Beat It On Down The Line",5,"Cumberland Blues"
"Beat It On Down The Line",5,"Althea"
"Beat It On Down The Line",5,"Friend Of The Devil"
"Beat It On Down The Line",5,"They Love Each Other"
"Beat It On Down The Line",5,"The Promised Land"
"Beat It On Down The Line",5,"Stella Blue"
"Beat It On Down The Line",5,"Good Morning Little Schoolgirl"
"Beat It On Down The Line",4,"Dark Star"
"Beat It On Down The Line",4,"Loose Lucy"
"Beat It On Down The Line",4,"Big Railroad Blues"
"Beat It On Down The Line",4,"Scarlet Begonias"
"Beat It On Down The Line",4,"Don't Ease Me In"
"Beat It On Down The Line",4,"High Time"
"Beat It On Down The Line",4,"Morning Dew"
"Beat It On Down The Line",3,"He's Gone"
"Beat It On Down The Line",3,"Big Boss Man"
"Beat It On Down The Line",3,"Mr. Charlie"
"Beat It On Down The Line",3,"Casey Jones"
"Beat It On Down The Line",3,"Mississippi Half Step Uptown Toodeloo"
"Beat It On Down The Line",3,"Black Peter"
"Beat It On Down The Line",2,"Next Time You See Me"
"Beat It On Down The Line",2,"You Win Again"
"Beat It On Down The Line",2,"Just Like Tom Thumb's Blues"
"Beat It On Down The Line",2,"Dupree's Diamond Blues"
"Beat It On Down The Line",2,"Heads Up"
"Beat It On Down The Line",2,"Good Lovin'"
"Beat It On Down The Line",2,"El Paso"
"Beat It On Down The Line",2,"Jack Straw"
"Beat It On Down The Line",2,"Touch Of Grey"
"Beat It On Down The Line",2,"Ship Of Fools"
"Beat It On Down The Line",2,"Brokedown Palace"
"Beat It On Down The Line",1,"Cassidy"
"Beat It On Down The Line",1,"Box Of Rain"
"Beat It On Down The Line",1,"Cryptical Envelopment"
"Beat It On Down The Line",1,"Me And Bobby Mcgee"
"Beat It On Down The Line",1,"Sing Me Back Home"
"Beat It On Down The Line",1,"Standing On The Corner"
"Beat It On Down The Line",1,"Far From Me"
"Beat It On Down The Line",1,"Cream Puff War"
"Beat It On Down The Line",1,"Truckin'"
"Beat It On Down The Line",1,"Hide Away"
"Beat It On Down The Line",1,"On The Road Again"
"Beat It On Down The Line",1,"Me And My Uncle"
"Beat It On Down The Line",1,"Bertha"
"Beat It On Down The Line",1,"You Ain't Woman Enough"
"Beat It On Down The Line",1,"It's All Over Now, Baby Blue"
"Beat It On Down The Line",1,"I'm A King Bee"
"Beat It On Down The Line",1,"Hi-Heeled Sneakers"
"Beat It On Down The Line",1,"Jack A Roe"
"Beat It On Down The Line",1,"Never Trust A Woman"
"Beat It On Down The Line",1,"Dancing In The Streets"
"Beat It On Down The Line",1,"Wharf Rat"
"Beat It On Down The Line",1,"Comes A Time"
"Beat It On Down The Line",1,"Here Comes Sunshine"
"Beat It On Down The Line",1,"Looks Like Rain"
"Beat It On Down The Line",1,"Might As Well"
"Beat It On Down The Line",1,"Turn On Your Lovelight"
"Beat It On Down The Line",1,"I Second That Emotion"
"Beat It On Down The Line",1,"Two Souls In Communion"
"Beat It On Down The Line",1,"Franklin's Tower"
"Beat It On Down The Line",1,"In The Pines"
"Beat It On Down The Line",0,""
"Been Down So Long",1,"Cold Rain And Snow"
"Believe It Or Not",2,"Truckin'"
"Believe It Or Not",2,"Sugar Magnolia"
"Believe It Or Not",1,"Stuck Inside A Mobile With The Memphis Blues Again"
"Believe It Or Not",1,"Man Smart (Woman Smarter)"
"Believe It Or Not",1,"Throwing Stones"
"Bertha",76,"Good Lovin'"
"Bertha",62,"Greatest Story Ever Told"
"Bertha",40,"Me And My Uncle"
"Bertha",19,"Playing In The Band"
"Bertha",18,"The Promised Land"
"Bertha",12,"Mexicali Blues"
"Bertha",10,"Me And Bobby Mcgee"
"Bertha",9,"Little Red Rooster"
"Bertha",9,"Jack Straw"
"Bertha",8,"Wang Dang Doodle"
"Bertha",8,"Beat It On Down The Line"
"Bertha",8,"Walkin' Blues"
"Bertha",7,"New Minglewood Blues"
"Bertha",6,"Sugar Magnolia"
"Bertha",5,"The Same Thing"
"Bertha",4,"Man Smart (Woman Smarter)"
"Bertha",4,"Estimated Prophet"
"Bertha",4,"Samson And Delilah"
"Bertha",4,"Mama Tried"
"Bertha",4,"Black Throated Wind"
"Bertha",4,"El Paso"
"Bertha",3,"Cumberland Blues"
"Bertha",3,"Spoonful"
"Bertha",3,"It's All Over Now"
"Bertha",2,"Cassidy"
"Bertha",2,"One More Saturday Night"
"Bertha",2,"Big Boss Man"
"Bertha",2,"Lost Sailor"
"Bertha",2,"We Can Run"
"Bertha",2,"Weather Report Suite Prelude"
"Bertha",2,"Truckin'"
"Bertha",2,"Next Time You See Me"
"Bertha",2,"Around And Around"
"Bertha",2,"Looks Like Rain"
"Bertha",1,"Drums"
"Bertha",1,"Picasso Moon"
"Bertha",1,"Deal"
"Bertha",1,"He's Gone"
"Bertha",1,"The Music Never Stopped"
"Bertha",1,"Ship Of Fools"
"Bertha",1,"Hard To Handle"
"Bertha",1,"Dancing In The Streets"
"Bertha",1,"Good Morning Little Schoolgirl"
"Bertha",1,"My Brother Esau"
"Bertha",1,"It Hurts Me Too"
"Bertha",1,"Lazy Lightnin'"
"Bertha",1,"Mr. Charlie"
"Bertha",1,"When I Paint My Masterpiece"
"Bertha",1,"Johnny B. Goode"
"Bertha",1,"Feel Like A Stranger"
"Bertha",1,"Big River"
"Bertha",1,"China Doll"
"Bertha",1,"Sing Me Back Home"
"Bertha",1,"Morning Dew"
"Bertha",1,"Just A Little Light"
"Bertha",0,""
"Betty And Dupree",1,"Next Time You See Me"
"Big Boss Man",6,"Me And My Uncle"
"Big Boss Man",4,"Cryptical Envelopment"
"Big Boss Man",3,"Loser"
"Big Boss Man",3,"China Cat Sunflower"
"Big Boss Man",3,"Mama Tried"
"Big Boss Man",3,"Jack Straw"
"Big Boss Man",2,"Dark Star"
"Big Boss Man",2,"Brokedown Palace"
"Big Boss Man",2,"Uncle John's Band"
"Big Boss Man",2,"Black Throated Wind"
"Big Boss Man",2,"Alligator"
"Big Boss Man",2,"Greatest Story Ever Told"
"Big Boss Man",2,"The Promised Land"
"Big Boss Man",2,"El Paso"
"Big Boss Man",2,"Iko Iko"
"Big Boss Man",2,"Casey Jones"
"Big Boss Man",2,"Black Peter"
"Big Boss Man",2,"Sugar Magnolia"
"Big Boss Man",2,"Beat It On Down The Line"
"Big Boss Man",1,"Me And Bobby Mcgee"
"Big Boss Man",1,"New Minglewood Blues"
"Big Boss Man",1,"Sittin' On Top Of The World"
"Big Boss Man",1,"Feel Like A Stranger"
"Big Boss Man",1,"Stuck Inside A Mobile With The Memphis Blues Again"
"Big Boss Man",1,"Morning Dew"
"Big Boss Man",1,"Mexicali Blues"
"Big Boss Man",1,"Cold Rain And Snow"
"Big Boss Man",1,"Bertha"
"Big Boss Man",1,"Bird Song"
"Big Boss Man",1,"My Brother Esau"
"Big Boss Man",1,"Cosmic Charlie"
"Big Boss Man",1,"Walkin' Blues"
"Big Boss Man",1,"Mason's Children"
"Big Boss Man",1,"Brown Eyed Women"
"Big Boss Man",1,"Standing on the Corner"
"Big Boss Man",1,"He Was A Friend Of Mine"
"Big Boss Man",1,"Playing In The Band"
"Big Boss Man",1,"One Kind Favor"
"Big Boss Man",1,"Ramble On Rose"
"Big Boss Man",1,"Sugaree"
"Big Boss Man",1,"Cassidy"
"Big Boss Man",1,"Good Lovin'"
"Big Boss Man",1,"Big Railroad Blues"
"Big Boss Man",1,"One More Saturday Night"
"Big Boss Man",1,"Stealin'"
"Big Boy Pete",2,"Not Fade Away"
"Big Boy Pete",1,"Me And My Uncle"
"Big Boy Pete",1,"Death Don't Have No Mercy"
"Big Boy Pete",1,"Morning Dew"
"Big Boy Pete",1,"Dire Wolf"
"Big Boy Pete",1,"See That My Grave Is Kept Clean"
"Big Boy Pete",1,"Jack A Roe"
"Big Boy Pete",1,"Good Lovin'"
"Big Breasa",1,"She's Mine"
"Big Railroad Blues",16,"Looks Like Rain"
"Big Railroad Blues",12,"The Music Never Stopped"
"Big Railroad Blues",10,"Let It Grow"
"Big Railroad Blues",10,"Playing In The Band"
"Big Railroad Blues",9,"El Paso"
"Big Railroad Blues",7,"Me And My Uncle"
"Big Railroad Blues",7,"Jack Straw"
"Big Railroad Blues",6,"Cassidy"
"Big Railroad Blues",6,"Casey Jones"
"Big Railroad Blues",5,"Mexicali Blues"
"Big Railroad Blues",5,"Me And Bobby Mcgee"
"Big Railroad Blues",4,"The Promised Land"
"Big Railroad Blues",4,"Cumberland Blues"
"Big Railroad Blues",4,"Big Boss Man"
"Big Railroad Blues",4,"Lazy Lightnin'"
"Big Railroad Blues",4,"Little Red Rooster"
"Big Railroad Blues",3,"Mama Tried"
"Big Railroad Blues",3,"My Brother Esau"
"Big Railroad Blues",3,"Not Fade Away"
"Big Railroad Blues",2,"Sugar Magnolia"
"Big Railroad Blues",2,"Truckin'"
"Big Railroad Blues",2,"Hard To Handle"
"Big Railroad Blues",2,"Around And Around"
"Big Railroad Blues",2,"Greatest Story Ever Told"
"Big Railroad Blues",2,"Stuck Inside A Mobile With The Memphis Blues Again"
"Big Railroad Blues",2,"Two Souls In Communion"
"Big Railroad Blues",2,"Feel Like A Stranger"
"Big Railroad Blues",2,"Brown Eyed Women"
"Big Railroad Blues",2,"Sugaree"
"Big Railroad Blues",2,"Saint Stephen"
"Big Railroad Blues",1,"The Race Is On"
"Big Railroad Blues",1,"Supplication Jam"
"Big Railroad Blues",1,"New Minglewood Blues"
"Big Railroad Blues",1,"Samson And Delilah"
"Big Railroad Blues",1,"Picasso Moon"
"Big Railroad Blues",1,"Next Time You See Me"
"Big Railroad Blues",1,"Deep Elem Blues"
"Big Railroad Blues",1,"Operator"
"Big Railroad Blues",1,"Black Throated Wind"
"Big Railroad Blues",1,"It's All Over Now"
"Big Railroad Blues",1,"I'm A King Bee"
"Big Railroad Blues",1,"Easy To Love You"
"Big Railroad Blues",1,"Desolation Row"
"Big Railroad Blues",1,"Box Of Rain"
"Big Railroad Blues",1,"Louie Louie"
"Big Railroad Blues",1,"Comes A Time"
"Big Railroad Blues",1,"Big River"
"Big Railroad Blues",1,"Beat It On Down The Line"
"Big Railroad Blues",1,"Brokedown Palace"
"Big Railroad Blues",1,"Terrapin Station"
"Big Railroad Blues",1,"One More Saturday Night"
"Big Railroad Blues",1,"Good Lovin'"
"Big Railroad Blues",1,"Lost Sailor"
"Big Railroad Blues",1,"Just Like Tom Thumb's Blues"
"Big Railroad Blues",1,"Chinatown Shuffle"
"Big Railroad Blues",1,"Estimated Prophet"
"Big Railroad Blues",1,"Dark Star"
"Big Railroad Blues",1,"Althea"
"Big Railroad Blues",1,"Dark Hollow"
"Big Railroad Blues",1,"He's Gone"
"Big Railroad Blues",1,"Man Smart (Woman Smarter)"
"Big Railroad Blues",0,""
"Big River",25,"Althea"
"Big River",25,"Tennessee Jed"
"Big River",25,"Brown Eyed Women"
"Big River",23,"Ramble On Rose"
"Big River",22,"Loser"
"Big River",19,"Peggy O"
"Big River",19,"Bird Song"
"Big River",17,"Candyman"
"Big River",17,"Friend Of The Devil"
"Big River",15,"Row Jimmy"
"Big River",11,"It Must Have Been The Roses"
"Big River",10,"They Love Each Other"
"Big River",9,"West L.A. Fadeaway"
"Big River",8,"China Cat Sunflower"
"Big River",8,"Stagger Lee"
"Big River",7,"Sugaree"
"Big River",7,"Dark Star"
"Big River",7,"Deal"
"Big River",6,"Dupree's Diamond Blues"
"Big River",6,"Don't Ease Me In"
"Big River",6,"Loose Lucy"
"Big River",6,"Ship Of Fools"
"Big River",5,"Brokedown Palace"
"Big River",5,"High Time"
"Big River",5,"He's Gone"
"Big River",5,"Here Comes Sunshine"
"Big River",4,"Bertha"
"Big River",4,"Mississippi Half Step Uptown Toodeloo"
"Big River",4,"Just Like Tom Thumb's Blues"
"Big River",4,"Maggie's Farm"
"Big River",3,"Stella Blue"
"Big River",3,"Scarlet Begonias"
"Big River",3,"To Lay Me Down"
"Big River",3,"Big Railroad Blues"
"Big River",3,"Cumberland Blues"
"Big River",3,"Might As Well"
"Big River",3,"Casey Jones"
"Big River",3,"When Push Comes To Shove"
"Big River",2,"Eyes Of The World"
"Big River",2,"Deep Elem Blues"
"Big River",2,"Far From Me"
"Big River",2,"Mission In The Rain"
"Big River",2,"Playing In The Band (reprise)"
"Big River",2,"Sunrise"
"Big River",2,"Lazy River Road"
"Big River",1,"Iko Iko"
"Big River",1,"Built To Last"
"Big River",1,"Jack A Roe"
"Big River",1,"You Ain't Woman Enough"
"Big River",1,"Wave That Flag"
"Big River",1,"Crazy Fingers"
"Big River",1,"Big Boss Man"
"Big River",1,"Let Me Sing Your Blues Away"
"Big River",1,"Way To Go Home"
"Big River",1,"The Other One"
"Big River",1,"Terrapin Station"
"Big River",1,"So Many Roads"
"Big River",1,"The Same Thing"
"Big River",1,"Black Peter"
"Big River",1,"U.S. Blues"
"Big River",1,"Box Of Rain"
"Big River",1,"El Paso"
"Big River",1,"Playing In The Band"
"Big River",1,"Cold Rain And Snow"
"Big River",0,""
"Bird Song",43,"The Promised Land"
"Bird Song",13,"Hell In A Bucket"
"Bird Song",12,"Looks Like Rain"
"Bird Song",11,"Playing In The Band"
"Bird Song",11,"The Music Never Stopped"
"Bird Song",10,"Beat It On Down The Line"
"Bird Song",10,"Ripple"
"Bird Song",9,"El Paso"
"Bird Song",8,"Little Red Rooster"
"Bird Song",8,"Jack Straw"
"Bird Song",7,"Big River"
"Bird Song",7,"Mexicali Blues"
"Bird Song",6,"C.C. Rider"
"Bird Song",6,"Cassidy"
"Bird Song",6,"Let It Grow"
"Bird Song",6,"Black Throated Wind"
"Bird Song",5,"It's All Over Now"
"Bird Song",4,"New Minglewood Blues"
"Bird Song",4,"Me And My Uncle"
"Bird Song",3,"Heaven Help The Fool"
"Bird Song",3,"Picasso Moon"
"Bird Song",3,"Lazy Lightnin'"
"Bird Song",3,"My Brother Esau"
"Bird Song",3,"Truckin'"
"Bird Song",3,"Valley Road"
"Bird Song",2,"Me And Bobby Mcgee"
"Bird Song",2,"Passenger"
"Bird Song",2,"Tons Of Steel"
"Bird Song",2,"Cumberland Blues"
"Bird Song",2,"The Race Is On"
"Bird Song",1,"Sugar Magnolia"
"Bird Song",1,"To Lay Me Down"
"Bird Song",1,"One More Saturday Night"
"Bird Song",1,"Box Of Rain"
"Bird Song",1,"Not Fade Away"
"Bird Song",1,"Maybe You Know"
"Bird Song",1,"Just Like Tom Thumb's Blues"
"Bird Song",1,"Greatest Story Ever Told"
"Bird Song",1,"Comes A Time"
"Bird Song",1,"Big Boss Man"
"Bird Song",1,"Sugaree"
"Bird Song",1,"Lost Sailor"
"Bird Song",1,"Desolation Row"
"Bird Song",1,"Mama Tried"
"Bird Song",1,"Johnny B. Goode"
"Bird Song",1,"China Cat Sunflower"
"Bird Song",1,"Easy Wind"
"Bird Song",1,"Supplication Jam"
"Bird Song",1,"I've Been All Around This World"
"Bird Song",1,"Good Times"
"Bird Song",1,"When I Paint My Masterpiece"
"Bird Song",1,"Blow Away"
"Bird Song",1,"Dark Hollow"
"Bird Song",1,"Man Smart (Woman Smarter)"
"Bird Song",1,"Cryptical Envelopment"
"Bird Song",1,"Dancing In The Streets"
"Bird Song",1,"Samson And Delilah"
"Bird Song",1,"Good Morning Little Schoolgirl"
"Bird Song",0,""
"Black Muddy River",3,"Playing In The Band"
"Black Muddy River",2,"Sugar Magnolia"
"Black Muddy River",2,"He's Gone"
"Black Muddy River",1,"I Need A Miracle"
"Black Muddy River",1,"Samson And Delilah"
"Black Muddy River",1,"Box Of Rain"
"Black Muddy River",1,"And We Bid You Good Night"
"Black Muddy River",0,""
"Black Peter",90,"Around And Around"
"Black Peter",70,"Sugar Magnolia"
"Black Peter",22,"Good Lovin'"
"Black Peter",22,"Throwing Stones"
"Black Peter",21,"Turn On Your Lovelight"
"Black Peter",12,"Uncle John's Band"
"Black Peter",11,"One More Saturday Night"
"Black Peter",9,"Playing In The Band (reprise)"
"Black Peter",9,"Hard To Handle"
"Black Peter",6,"Goin' Down The Road Feeling Bad"
"Black Peter",6,"I Need A Miracle"
"Black Peter",6,"Truckin'"
"Black Peter",5,"Not Fade Away"
"Black Peter",5,"Me And My Uncle"
"Black Peter",4,"Sunshine Daydream"
"Black Peter",4,"Beat It On Down The Line"
"Black Peter",4,"Playing In The Band"
"Black Peter",3,"Mama Tried"
"Black Peter",3,"Big River"
"Black Peter",3,"Next Time You See Me"
"Black Peter",3,"El Paso"
"Black Peter",2,"Candyman"
"Black Peter",2,"Cumberland Blues"
"Black Peter",1,"Me And Bobby Mcgee"
"Black Peter",1,"Drums"
"Black Peter",1,"Cryptical Envelopment"
"Black Peter",1,"Jack Straw"
"Black Peter",1,"Wake Up Little Susie"
"Black Peter",1,"Mexicali Blues"
"Black Peter",1,"Easy Wind"
"Black Peter",1,"New Speedway Boogie"
"Black Peter",1,"Weather Report Suite Prelude"
"Black Peter",1,"Little Sadie"
"Black Peter",1,"How Long Blues"
"Black Peter",1,"Bertha"
"Black Peter",1,"Johnny B. Goode"
"Black Peter",1,"Big Boss Man"
"Black Peter",1,"Katie Mae"
"Black Peter",1,"The Other One"
"Black Peter",1,"Friend Of The Devil"
"Black Peter",1,"Greatest Story Ever Told"
"Black Peter",1,"Dancing In The Streets"
"Black Peter",1,"Mason's Children"
"Black Peter",1,"(I Can't Get No) Satisfaction"
"Black Peter",1,"Seasons Of My Heart"
"Black Peter",1,"Why Don't We Do It In The Road"
"Black Peter",1,"China Cat Sunflower"
"Black Peter",0,""
"Black Queen",1,"Iko Iko"
"Black Queen",1,"Turn On Your Lovelight"
"Black Throated Wind",19,"Tennessee Jed"
"Black Throated Wind",10,"Bird Song"
"Black Throated Wind",10,"China Cat Sunflower"
"Black Throated Wind",7,"Big Railroad Blues"
"Black Throated Wind",7,"Chinatown Shuffle"
"Black Throated Wind",6,"Deal"
"Black Throated Wind",6,"Cumberland Blues"
"Black Throated Wind",6,"Don't Ease Me In"
"Black Throated Wind",5,"Ramble On Rose"
"Black Throated Wind",5,"Scarlet Begonias"
"Black Throated Wind",5,"Friend Of The Devil"
"Black Throated Wind",5,"They Love Each Other"
"Black Throated Wind",4,"Loser"
"Black Throated Wind",4,"Sugaree"
"Black Throated Wind",4,"Next Time You See Me"
"Black Throated Wind",4,"Loose Lucy"
"Black Throated Wind",3,"Just Like Tom Thumb's Blues"
"Black Throated Wind",3,"Bertha"
"Black Throated Wind",3,"Candyman"
"Black Throated Wind",2,"To Lay Me Down"
"Black Throated Wind",2,"Row Jimmy"
"Black Throated Wind",2,"Mississippi Half Step Uptown Toodeloo"
"Black Throated Wind",2,"Jack A Roe"
"Black Throated Wind",2,"You Win Again"
"Black Throated Wind",2,"Mr. Charlie"
"Black Throated Wind",2,"Dire Wolf"
